6.129339,4.745825,6.470292,4.925505,3.509759,5.297997,3.730352,8.563571,7.231285,8.826301,7.342115,5.986970,7.645757
4.745825,6.470292,4.925505,3.509759,5.297997,3.730352,8.563571,7.231285,8.826301,7.342115,5.986970,7.645757,6.129339
6.470292,4.925505,3.509759,5.297997,3.730352,8.563571,7.231285,8.826301,7.342115,5.986970,7.645757,6.129339,4.745825
4.925505,3.509759,5.297997,3.730352,8.563571,7.231285,8.826301,7.342115,5.986970,7.645757,6.129339,4.745825,6.470292
3.509759,5.297997,3.730352,8.563571,7.231285,8.826301,7.342115,5.986970,7.645757,6.129339,4.745825,6.470292,4.925505
5.297997,3.730352,8.563571,7.231285,8.826301,7.342115,5.986970,7.645757,6.129339,4.745825,6.470292,4.925505,3.509759
3.730352,8.563571,7.231285,8.826301,7.342115,5.986970,7.645757,6.129339,4.745825,6.470292,4.925505,3.509759,5.297997
8.563571,7.231285,8.826301,7.342115,5.986970,7.645757,6.129339,4.745825,6.470292,4.925505,3.509759,5.297997,3.730352
7.231285,8.826301,7.342115,5.986970,7.645757,6.129339,4.745825,6.470292,4.925505,3.509759,5.297997,3.730352,8.563571
8.826301,7.342115,5.986970,7.645757,6.129339,4.745825,6.470292,4.925505,3.509759,5.297997,3.730352,8.563571,7.231285
7.342115,5.986970,7.645757,6.129339,4.745825,6.470292,4.925505,3.509759,5.297997,3.730352,8.563571,7.231285,8.826301
5.986970,7.645757,6.129339,4.745825,6.470292,4.925505,3.509759,5.297997,3.730352,8.563571,7.231285,8.826301,7.342115
7.645757,6.129339,4.745825,6.470292,4.925505,3.509759,5.297997,3.730352,8.563571,7.231285,8.826301,7.342115,5.986970
